id,name,description,quantity,price
5,A6/20,0,3606,0
6,A4/20,0,0,0
7,A4/20М,0,700,0
8,A7/20,0,0,0
9,A8/20,0,870,0
10,A6/20M,0,3999,0
11,A6/22,0,1400,0
12,A7/22,0,0,0
13,А8/22,0,596,0
14,K6HS/20,0,39750,0
15,K8HS/20,0,9950,0
16,W6/20X^2,0,400,0
17,M52P-15. 5,0,0,0
18,R50EC-22S,0,0,0
19,L36G-16B3,0,990,0
20,C30A-22F,0,70,0
21,C25A-16S2,0,300,0
22,C65-21,0,0,0
23,E38C-12.3d10,0,610,0
24,G50/75-15.5,0,14,0
25,T26V-16E3,0,0,0
26,H55P (син. банка),0,470,0
27,L36WL-16B3,0,0,0
28,C20A-16T,0,100,0
29,C27EP-12.3,0,0,0
30,"NT9..915.130.0.305 с полк, кв",0,0,0
31,NT9.20.915.130.3.305.18.3 кругл отв.,0,2,0
32,NT9.20.980.150.5.000 без отв.,0,0,0
33,NT9.20.1220.130.3.305.18.4,0,0,0
34,"NT9.1220.130.0.305 с полк, кв",0,0,0
35,"NT9.1220.130.2.305 без полк, кв",0,0,0
36,NT9.1220.130.3.305 без полк кругл,0,0,0
37,1220 без отв,0,0,0
38,NT915/150,0,0,0
39,NT6.915.130.0,0,0,0
40,NT1220/150 без полк кругл,0,6,0
41,"NT9..915.130.2.305 без полк, кв",0,5,0
42,"NT9..1260.150.140 без полк, кв",0,4,0
43,NT9.20.915.150.3.152.18.7,0,15,0
44,"NT9..1120.150.140 без полк, кв",0,0,0
45,NT6.1220.130,0,0,0
46,NT6.1220.130.0,0,0,0
47,NT980,0,5,0
48,NT792квполка,0,0,0
49,NT792 кругл,0,41,0
50,NT792 кв/полка,0,45,0
51,NT610 135 мм выс,0,26,0
52,NT610 130мм выс,0,0,0
53,NT300,0,0,0
54,NT150,0,0,0
55,NL9.20.1220.130.2.305.18.4,0,0,0
56,NL9.20.915.130.2.305.18.3,0,0,0
57,NL792,0,0,0
58,NC915.130.305 кр,0,0,0
59,NC1260.150.140 кр,0,0,0
60,NC1120.150.140 кр,0,0,0
61,NC1.20.915.130.3.305,0,0,0
62,NC1.20.1220.130.2.305.,0,0,0
63,NS 1260 200,0,1,0
64,NS 980 200,0,2,0
65,Нож средний резцовый ( КДМ 1365х190х20),0,0,0
66,NL9.20.1260.150.3.140,0,0,0
67,NL9.20.1120.150.3.140,0,0,0
68,NL1220,0,0,0
69,NL9.20.980.150.3.140,0,0,0
70,Подкладные бордовые 1260,0,20,0
71,Подкладные бордовые 1120,0,10,0
72,Подкладные 980,0,6,0
73,Обрезки HB 500 29см на 24,0,30,0
74,Обрезки HB 500 50см на 30см,0,10,0
75,Нож грейд коричн. 2130.200.155 Китай,0,0,0
76,Нож грейд коричн. 1828 Китай,0,0,0
77,Нож средн. (1820х180х12 500 НВ),0,0,0
78,Нож с бобышкой коричневый,0,0,0
79,Нож 1828 под М16,0,166,0
80,Нож 1828 под М20,0,64,0
81, Нож 2130 под М16,0,24,0
82, Нож 2130 под М20,0,30,0
83,Б+Г 16,0,3396,0
84,Б+Г 20,0,2694,0
85,1м полеуретан,0,15,0
86,полеуретан квадратные,0,0,0
87,1м,0,23,0
88,1м (тросскорд),0,1,0
89,0.5м,0,0,0
90,Держаки,0,0,0
91,HT11 (DA 006),0,83,0
92,DK040K,0,395,0
93,DK 040KB,0,395,0
94,DA 005,0,60,0
95,DA 004-02,0,0,0
96,DA 004-04,0,0,0
97,DA 006,0,80,0
98,11-20 187002 X,0,15,0
99,11-D20 187002 X,0,20,0
100,HT22 Plus,0,4,0
101,DG 030D,0,0,0
102,Болт+ Г 16х80,0,170,0
103,Болт+ Г 16х1.5х60,0,1100,0
104,Б+Г 16 (12.9х70),0,20,0
105,база нт22 Брянск,0,9,0
106,база нт22 в мешках,0,70,0
107,корпус резца в мешках фд567,0,0,0
108,база резцедержателя 040K прав,0,8,0
109,база резцедержателя 040K лев,0,5,0
110,Экстрактор 040К-1,0,3,0
111,Экстрактор 040К-2,0,3,0
112,Выколотка для резца,0,5,0
113,H30 PNUM-110408,0,0,0
